,sub_id,s0,s1,s2,relevantDim,correctPhi,choice,act,rew
149,0,113,321,232,2,2,113,0,0.0
150,0,113,232,321,2,2,232,1,0.0
151,0,313,232,121,2,2,121,2,1.0
152,0,122,213,331,2,2,331,2,0.0
153,0,222,133,311,2,2,311,2,0.0
154,0,123,231,312,2,2,123,0,1.0
155,0,233,122,311,2,2,122,1,1.0
156,0,321,113,232,2,2,113,1,0.0
157,0,113,331,222,2,2,222,2,1.0
158,0,131,312,223,2,2,223,2,1.0
159,0,223,331,112,2,2,223,0,1.0
160,0,333,122,211,2,2,122,1,1.0
161,0,232,113,321,2,2,321,2,1.0
162,0,221,132,313,2,2,221,0,0.0
163,0,132,211,323,2,2,323,2,0.0
164,0,331,113,222,2,2,222,2,1.0
165,0,313,121,232,2,2,232,2,0.0
166,0,132,223,311,2,2,223,1,1.0
167,0,122,233,311,2,2,233,1,0.0
168,0,311,132,223,2,2,223,2,0.0
169,0,331,222,113,3,3,331,0,1.0
170,0,111,232,323,3,3,323,2,1.0
171,0,123,212,331,3,3,331,2,0.0
172,0,331,223,112,3,3,331,0,0.0
173,0,331,122,213,3,3,331,0,0.0
174,0,131,223,312,3,3,223,1,1.0
175,0,211,323,132,3,3,323,1,1.0
176,0,332,221,113,3,3,113,2,1.0
177,0,222,131,313,3,3,313,2,1.0
178,0,123,311,232,3,3,123,0,1.0
179,0,321,133,212,3,3,133,1,1.0
180,0,132,221,313,3,3,313,2,1.0
181,0,131,313,222,3,3,313,1,0.0
182,0,131,312,223,3,3,223,2,1.0
183,0,131,322,213,3,3,213,2,1.0
184,0,111,333,222,3,3,333,1,1.0
185,0,322,131,213,2,1,322,0,0.0
186,0,121,233,312,2,1,233,1,1.0
187,0,313,232,121,2,1,232,1,0.0
188,0,332,111,223,2,1,223,2,0.0
189,0,323,231,112,2,1,323,0,0.0
190,0,222,111,333,2,1,222,0,0.0
191,0,311,132,223,2,1,223,2,0.0
192,0,121,332,213,2,1,332,1,0.0
193,0,212,123,331,2,1,212,0,0.0
194,0,211,133,322,2,1,000,1,0.0
195,0,321,112,233,2,1,112,1,1.0
196,0,323,131,212,2,1,131,1,1.0
197,0,113,322,231,2,1,322,1,0.0
198,0,133,322,211,2,1,133,0,0.0
199,0,312,223,131,2,1,131,2,0.0
200,0,331,112,223,2,1,112,1,1.0
201,0,232,123,311,2,1,123,1,0.0
202,0,322,131,213,2,1,322,0,1.0
203,0,123,231,312,2,1,312,2,1.0
204,0,323,212,131,3,1,323,0,1.0
205,0,221,313,132,3,1,313,1,1.0
206,0,312,221,133,3,1,312,0,0.0
207,0,333,221,112,3,1,333,0,1.0
208,0,111,222,333,3,1,333,2,0.0
209,0,122,333,211,3,1,333,1,1.0
210,0,131,322,213,3,1,322,1,0.0
211,0,331,112,223,3,1,223,2,0.0
212,0,233,311,122,3,1,233,0,1.0
213,0,332,121,213,3,1,213,2,0.0
214,0,231,122,313,3,1,231,0,1.0
215,0,113,232,321,3,1,232,1,0.0
216,0,112,331,223,3,1,331,1,1.0
217,0,333,122,211,3,1,333,0,0.0
218,0,132,321,213,3,1,321,1,0.0
219,0,222,133,311,3,1,311,2,1.0
220,0,112,331,223,3,1,331,1,1.0
221,0,113,332,221,3,1,332,1,0.0
222,0,322,213,131,3,1,322,0,0.0
223,0,331,123,212,3,1,331,0,0.0
224,0,222,333,111,3,1,222,0,0.0
225,0,223,311,132,3,1,311,1,1.0
226,0,222,113,331,2,3,331,2,1.0
227,0,122,331,213,2,3,331,1,0.0
228,0,131,222,313,2,3,313,2,1.0
229,0,231,112,323,2,3,323,2,0.0
230,0,133,312,221,2,3,312,1,1.0
231,0,322,113,231,2,3,322,0,0.0
232,0,221,312,133,2,3,312,1,1.0
233,0,222,133,311,2,3,311,2,0.0
234,0,321,232,113,2,3,321,0,0.0
235,0,211,132,323,2,3,323,2,1.0
236,0,331,222,113,2,3,331,0,1.0
237,0,233,122,311,2,3,311,2,1.0
238,0,231,323,112,2,3,323,1,1.0
239,0,211,322,133,2,3,322,1,0.0
240,0,212,133,321,2,3,321,2,1.0
241,0,122,213,331,2,3,331,2,0.0
242,0,233,122,311,2,3,311,2,1.0
243,0,132,323,211,2,3,323,1,0.0
244,0,132,321,213,2,3,321,1,0.0
